United_States,All_Sexes,All_Ages,170566
United_States,All_Sexes,Under_1_year,18
United_States,All_Sexes,0-17 ,85
United_States,All_Sexes,1-4 ,14
United_States,All_Sexes,5-14 ,28
United_States,All_Sexes,15-24 ,300
United_States,All_Sexes,18-29 ,741
United_States,All_Sexes,25-34 ,1318
United_States,All_Sexes,30-49 ,7782
United_States,All_Sexes,35-44 ,3450
United_States,All_Sexes,45-54 ,9047
United_States,All_Sexes,50-64 ,27119
United_States,All_Sexes,55-64 ,21552
United_States,All_Sexes,65-74 ,36434
United_States,All_Sexes,75-84 ,45022
United_States,All_Sexes,85 _and_over,53383
United_States,Male,Under_1_year,13
United_States,Male,0-17 ,53
United_States,Male,1-4 ,7
United_States,Male,5-14 ,20
United_States,Male,15-24 ,187
United_States,Male,18-29 ,485
United_States,Male,25-34 ,878
United_States,Male,30-49 ,5360
United_States,Male,35-44 ,2369
United_States,Male,45-54 ,6183
United_States,Male,50-64 ,17827
United_States,Male,55-64 ,14068
United_States,Male,65-74 ,22446
United_States,Male,75-84 ,24762
United_States,Male,85 _and_over,21188
United_States,Male,All_Ages,92121
United_States,Female,Under_1_year,5
United_States,Female,0-17 ,32
United_States,Female,1-4 ,7
United_States,Female,5-14 ,8
United_States,Female,15-24 ,113
United_States,Female,18-29 ,256
United_States,Female,25-34 ,440
United_States,Female,30-49 ,2422
United_States,Female,35-44 ,1081
United_States,Female,45-54 ,2863
United_States,Female,50-64 ,9291
United_States,Female,55-64 ,7484
United_States,Female,65-74 ,13987
United_States,Female,75-84 ,20259
United_States,Female,85 _and_over,32194
United_States,Female,All_Ages,78441
United_States,Unknown,Under_1_year,0
United_States,Unknown,0-17 ,0
United_States,Unknown,1-4 ,0
United_States,Unknown,5-14 ,0
United_States,Unknown,15-24 ,0
United_States,Unknown,18-29 ,0
United_States,Unknown,25-34 ,0
United_States,Unknown,30-49 ,0
United_States,Unknown,35-44 ,0
United_States,Unknown,45-54 ,1
United_States,Unknown,50-64 ,1
United_States,Unknown,55-64 ,0
United_States,Unknown,65-74 ,1
United_States,Unknown,75-84 ,1
United_States,Unknown,85 _and_over,1
United_States,Unknown,All_Ages,4
